Time,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
S College Ave,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2.5,1.5,1.5
West DE Ave,1,1,1.5,1.5,1.5,2,2,2,2,2,2,2,2,2,2,2,1
W Main St,1,1,1,1.5,1.5,1.5,2,2,2,2,2,2,1.5,1.5,1.5,1,1
E Main St,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1.5
S Main St,1,1,1,1,1,1.5,2,2,2,1.5,2,2,2,1.5,1.5,1,1.5
E DE Ave,1,1.5,1,1.5,1.5,1.5,1.5,2,2,2,2,1.5,1.5,1.5,1.5,1.5,1
Academy St,1,1,1.5,1.5,2.5,2,2,2,2,2,2,2,2,2,2,2,1.5
N College Ave,1,1,2,2,2,2,2,2,2,2.5,3,3,2,2,2,2,2
David Hollowell Dr,1,1,1.5,1.5,1.5,1,1,1.5,2,2,1.5,1.5,2,1.5,2,2,1
New London Road,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1
New London Ave,1.5,2,1.5,2,2,2,2,2,2,2,2,2,2,2,2,2,2
E Park PI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.5,1.5,1
